created_at,updated_at,cardnumber,first_name,middle_name,last_name,address1,address2,city,state,zip,country,phone,mobile,activation_date,cancellation_date,last_purchase_date,last_redemption_date,enrollment_status,birth_date,opt_in,gender,drivers_license,mothers_maiden,parent_card_number,trigger_group,first_transaction_location_id,first_transaction_date,dollars_redeemed,lifetime_points,first_transaction_cashier,location_enrolled,age,business_date,load_date,file_path
2021-11-28 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1870108142878705,Mark,,Johnson,32181 Johnson Course Apt. 389,,New Jamesside,PA,18437,USA,479.540.2654,,2021-11-28,,2024-04-10,2024-03-30,1,1978-12-31,Y,2,PA66722344,Bernard,,3,S5552,2021-11-28,28,9041,3547,S4527,46,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_fdd3778f.parquet
2020-09-07 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1071664965204264,Gabrielle,,Davis,5940 Herrera Lane,,New Kellystad,WV,25488,USA,001-410-734-1316x475,(534)719-2832x764,2020-09-07,,2021-03-15,2021-01-29,1,1949-01-07,N,1,WV87490893,Cameron,,2,S2139,2020-09-07,16,2329,1750,S4733,76,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_931a43b1.parquet
2020-08-18 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,5329915670564622,Patty,,Perez,6413 Lewis Parks,,Wilkersonmouth,VA,22586,USA,423-988-4969x653,801-922-6916,2020-08-18,,2021-01-28,,1,1960-01-05,Y,1,VA91756179,Rice,,2,S9751,2020-08-18,9,1843,5010,S3677,65,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_9365bafa.parquet
2022-05-17 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,3185775812441842,Tricia,,Valencia,184 Rodriguez Mews,,South Aaron,WV,25779,USA,728.914.8932x52880,3159430391,2022-05-17,,2024-12-19,2024-12-19,1,1977-12-31,N,1,WV38538251,Cabrera,,4,S7482,2022-05-17,46,8092,8517,S3340,47,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_5def8dff.parquet
2023-06-25 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,4192177702824637,William,,Patel,78248 Brandt Plains,,Lake Larry,NC,28381,USA,+1-557-587-1331x5098,5106310518,2023-06-25,,2024-03-20,2024-01-26,1,1995-12-27,N,2,NC90048665,Caldwell,,1,S7304,2023-06-25,12,3125,7252,S8668,29,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_67f558d9.parquet
2021-12-31 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,3001889288306886,Daniel,David,Walls,76311 Gomez Loop Suite 010,,Chandlerville,OH,44019,USA,538.372.6247,581.808.0132x677,2021-12-31,,2022-01-23,2022-01-09,9,1964-01-04,N,2,OH77187530,Barrera,,2,S9317,2021-12-31,1,202,2743,S5889,61,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_c01aa299.parquet
2020-03-31 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1487964744639115,Carmen,,Smith,7468 Moore Hill Apt. 098,Apt. 500,Shawhaven,OH,43645,USA,3815219136,001-790-691-6998,2020-03-31,,2023-08-30,2023-07-14,9,1966-01-03,N,1,OH42138745,Harris,,1,S4946,2020-03-31,87,12713,2290,S2403,59,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_8ea1daa9.parquet
2020-11-11 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1092902952254575,Mike,John,Foster,5107 Charles Forest Suite 251,,West Justin,PA,18590,USA,+1-649-380-8412,682-944-9353,2020-11-11,,2021-04-01,,1,1985-12-29,Y,2,PA51837852,King,,4,S7118,2020-11-11,5,1059,8177,S9479,39,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_7540666f.parquet
2022-06-08 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1959198151249512,Susan,Brent,Walters,05242 Arnold Meadow Apt. 112,Apt. 598,South David,PA,17526,USA,(405)433-1586x923,(902)756-3421x60733,2022-06-08,,2023-01-24,2023-01-22,1,1977-12-31,N,1,PA99788677,Torres,,4,S4510,2022-06-08,8,2017,9834,S3167,47,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_58e1a604.parquet
2020-11-28 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,2779479536463354,Rebecca,Jeremy,Johnson,5414 May Locks,,Sheilaville,VA,23070,USA,(894)301-9655,(793)740-6088x3561,2020-11-28,,2024-02-10,2024-01-10,1,1994-12-27,Y,1,VA97705310,Alvarado,,1,S1993,2020-11-28,74,10799,7596,S6559,30,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_4e5bd92d.parquet
2020-06-23 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,3298017722468799,Belinda,,Mccullough,656 Spencer Fields Suite 629,,Richardtown,PA,17490,USA,336-699-5777x3872,395.913.4332x00379,2020-06-23,,2021-11-14,2021-09-07,1,1951-01-07,Y,1,PA22517517,Perry,,2,S3724,2020-06-23,17,4079,7658,S8956,74,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_299fc560.parquet
2022-04-08 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,2462672357486597,Mark,,Lee,6320 Kimberly Forges Apt. 870,,Port David,PA,16093,USA,988.995.7986x872,734-787-3471x434,2022-04-08,,2023-05-23,,1,1974-01-01,N,2,PA30776478,Orozco,,2,S5861,2022-04-08,16,4372,4566,S1958,51,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_a44a02aa.parquet
2021-09-19 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,4219686221557284,Angela,Edward,Reyes,316 Rivera Mountain,Suite 036,Steinshire,OH,45849,USA,5969705466,946.470.6562,2021-09-19,,2022-01-21,2022-01-14,1,1942-01-09,Y,1,OH64193837,Hooper,,1,S5033,2021-09-19,11,1508,1651,S2343,83,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_43ac7563.parquet
2022-08-13 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,2323287194127393,Kimberly,,Meadows,62720 Gray Forest,,Murphyfurt,VA,23140,USA,001-564-217-0805x31003,+1-323-427-1937x452,2022-08-13,,2024-03-13,2024-02-09,1,1974-01-01,Y,1,VA11250299,Oconnell,,4,S2638,2022-08-13,24,6187,2200,S9808,51,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_782b6b15.parquet
2023-10-09 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,6918605634339681,Brian,Anthony,Collins,3193 Heidi Hollow Apt. 905,,Stanleyland,PA,19145,USA,+1-650-967-1657x2628,869.745.3147x379,2023-10-09,,2023-12-15,,1,1940-01-10,Y,2,PA45496015,Johnson,,1,S2753,2023-10-09,4,871,3546,S5462,85,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_c852e0bd.parquet
2023-05-21 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1634774060613388,Samuel,Hunter,Lewis,4948 Zachary Field Apt. 367,,Lake Thomas,OH,45916,USA,770.814.3634x9578,001-485-557-4443x1351,2023-05-21,,2024-05-06,2024-02-15,1,2000-12-25,Y,2,OH95511909,Robinson,,3,S3647,2023-05-21,18,2527,8239,S8007,24,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_8bec3553.parquet
2021-10-27 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1981847540599528,Kari,Jenny,Bray,34352 Smith Place Apt. 400,,Heidiberg,WV,26711,USA,209-647-7752,,2021-10-27,2022-04-29,2022-04-21,,1,1952-01-07,Y,1,WV58024342,Everett,,2,S5088,2021-10-27,15,2123,2684,S6794,73,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_58e8a06c.parquet
2020-08-04 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,2251918348980596,Karen,,Short,1902 Lisa Hollow Apt. 318,,Obrienbury,MD,21882,USA,(577)649-6499x0913,,2020-08-04,,2022-11-14,,1,1986-12-29,N,1,MD65259205,Guerrero,,2,S5371,2020-08-04,48,7133,3608,S2771,38,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_9251e9ba.parquet
2022-10-27 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,5765169712712188,Brooke,,Thompson,06797 Johnson Heights,,Jacquelinemouth,PA,15584,USA,+1-434-693-6183x24210,,2022-10-27,,2024-02-20,2023-12-24,1,1956-01-06,N,1,PA81969657,Larson,,3,S1452,2022-10-27,27,3765,2889,S5279,69,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_17e6d1de.parquet
2023-12-19 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1427676891465763,Roger,,Morse,74648 Kim Rapid Apt. 659,,Anthonybury,VA,24357,USA,001-604-490-2787,001-367-417-5655,2023-12-19,,2024-05-02,2024-02-16,1,1952-01-07,N,2,VA15957459,Rivera,,4,S1027,2023-12-19,9,1755,9518,S9821,73,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_43d29883.parquet
2021-02-11 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1048050966888065,Melissa,,Roberts,071 King Crescent Suite 808,,Gutierrezborough,PA,19248,USA,(397)270-3482x477,+1-393-424-8086x1317,2021-02-11,,2024-11-15,2024-10-19,1,1969-01-02,Y,1,PA35748341,Jimenez,,4,S7211,2021-02-11,80,17401,3851,S5930,56,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_cd430bff.parquet
2022-09-09 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1520373615052064,Mitchell,,Hicks,7737 Patrick Rapid Apt. 146,,Sarahhaven,WV,25795,USA,9447997278,988-867-5339x63605,2022-09-09,,2022-09-09,2022-08-14,1,1948-01-08,Y,2,WV98429450,Hughes,,1,S5649,2022-09-09,0,0,9445,S6491,77,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_8662fa98.parquet
2024-06-10 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,2424604518753927,Matthew,,Hoover,0289 Kane Well,,Garciamouth,PA,15126,USA,001-826-721-7459x6158,+1-978-409-1343x1611,2024-06-10,,2024-12-19,2024-12-19,1,1997-12-26,N,2,PA76354180,Benson,,4,S4997,2024-06-10,6,1662,3417,S1090,27,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_5c43c990.parquet
2020-10-03 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,6771780261485316,Steven,,Williams,5562 Amanda Port,,East Gregory,NC,28254,USA,(693)479-2374x7407,575-894-6474,2020-10-03,,2021-05-09,2021-04-11,1,2000-12-25,N,2,NC99600766,Castaneda,,5,S6198,2020-10-03,11,2914,8251,S9270,24,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_f9262801.parquet
